dataset,uspto_50k,,,
,,,,
use_rxn_class,TRUE,,,
,,,,
atom_message,FALSE,,,
,,,,
use_attn,TRUE,,,
,,,,
107,0.9226,0.6639,0.8707,0.0394
,,,,
108,0.922,0.6623,0.8719,0.0397
,,,,
109,0.9237,0.6609,0.8717,0.0396
,,,,
110,0.924,0.6625,0.8721,0.0393
,,,,
111,0.9251,0.6619,0.8737,0.0385
,,,,
112,0.9263,0.6617,0.8719,0.0368
,,,,
113,0.9256,0.6659,0.8725,0.038
,,,,
114,0.9263,0.6661,0.8715,0.0379
,,,,
115,0.929,0.6613,0.8695,0.036
,,,,
116,0.9278,0.6663,0.8699,0.0375
,,,,
117,0.9292,0.6629,0.8705,0.0365
,,,,
118,0.9292,0.6663,0.8715,0.0361
,,,,
119,0.9295,0.6645,0.8705,0.0354
,,,,
120,0.9318,0.6659,0.8709,0.0351
,,,,
121,0.9316,0.6673,0.8733,0.0343
,,,,
122,0.9298,0.6669,0.8709,0.0354
,,,,
123,0.9312,0.6651,0.8697,0.035
,,,,
124,0.9337,0.6667,0.8727,0.0348
,,,,
125,0.9323,0.6669,0.8709,0.0343
,,,,
126,0.9303,0.6631,0.8703,0.0352
,,,,
127,0.9321,0.6643,0.8701,0.0349
,,,,
128,0.933,0.6633,0.8709,0.034
,,,,
129,0.9346,0.6627,0.8693,0.0337
,,,,
130,0.9326,0.6675,0.8721,0.0341
,,,,
131,0.9332,0.6677,0.8709,0.034
,,,,
132,0.9361,0.6631,0.8709,0.0332
,,,,
133,0.9353,0.6631,0.8701,0.0333
,,,,
134,0.9363,0.6645,0.8707,0.0326
,,,,
135,0.9363,0.6657,0.8737,0.0324
,,,,
136,0.9353,0.6645,0.8729,0.0332
,,,,
137,0.9363,0.6641,0.8719,0.0323
,,,,
138,0.9365,0.6643,0.8707,0.0323
,,,,
139,0.9364,0.6639,0.8707,0.0329
,,,,
140,0.9376,0.6639,0.8711,0.032
,,,,
141,0.9365,0.6637,0.8721,0.0322
,,,,
142,0.9362,0.6653,0.8715,0.0321
,,,,
143,0.9386,0.6647,0.8721,0.0315
,,,,
144,0.9376,0.6663,0.8733,0.0316
,,,,
145,0.939,0.6633,0.8721,0.0315
,,,,
146,0.9392,0.6627,0.8707,0.0311
,,,,
147,0.9406,0.6643,0.8721,0.0305
,,,,
148,0.9393,0.6645,0.8733,0.0312
